rank,reward,genes
1,4.533015344140602,ADIPOQ;AL391421.1;C1QL2;CD300LG;CSF3;FMO2;FRMD1;HAPLN1;HSD17B13;IBSP;IGKV2D-24;LEP;LINC01614;LINCADL;SELP
2,4.3535524188089525,AC084759.3;ANKFN1;ATP1A2;CADM3-AS1;FP325317.1;GRIA4;LGR6;MMP11;MMP13;PCK1;PLIN4;PYDC1;SLC24A2;TIMP4;UGT8
3,4.344312085894662,AC097713.1;ADGRD2;ADH4;CADM3-AS1;FOSB;GLYAT;GSTA1;IGFBP1;KY;MSLNL;MYOC;OR2S1P;SLC19A3;SLCO1A2;ZBTB16
4,4.307120229910837,ANKFN1;CADM3-AS1;CLDN19;ERICH3;FP325317.1;IGHV3-11;LINC01614;LINC02660;MMP13;OPRPN;PCK1;PLIN4;SCARA5;TIMP4;UGT8
5,4.295025796013317,C10orf90;CHRM1;CNTNAP2;CST2;DEFB132;GLYAT;IL33;KY;MMP3;MRGPRX3;MSLNL;MYOC;PI16;SLC19A3;TRARG1
6,4.264227479339761,ADGRD2;AL161431.1;AQP7P1;B3GAT1-DT;CADM3-AS1;CNTNAP2;CST2;CXCL9;DACT2;GLYAT;LINC01287;MYOC;PI16;TRARG1;WIF1
7,4.263314078680597,ATP1A2;CA3;CADM3-AS1;CLDN19;FP325317.1;GRIK3;IGHV3-11;LGR6;LINC02660;METTL11B;MMP13;PCK1;PLIN4;SLC24A2;TIMP4
8,4.2340011820997585,ATP1A2;CA3;CLDN19;ERICH3;FP325317.1;GJB5;GRIA4;GRIK3;LINC02660;OPRPN;PCK1;PCOLCE2;PLIN4;SLC24A2;TIMP4
9,4.193608153416289,ATP1A2;HMGCLL1;INSYN2B;LINC02587;MAGEA1;METTL11B;MMP10;MMP11;MMP13;MS4A15;OPRPN;PCK1;SERPINA12;THRSP;TIMP4
10,4.190463980754395,ABCA8;CLDN19;GRIA4;HMGCLL1;INSYN2B;MAGEA1;MAPT-IT1;METTL11B;MMP10;MMP11;MMP13;PCK1;PCOLCE2;PLIN4;THRSP
